Date,Trade Volume
2014-11-01,38569972.59373859
2014-11-02,28711350.70534258
2014-11-03,40772300.42284785
2014-11-04,35073797.880440444
2014-11-05,44434915.106879316
2014-11-06,43131102.62856433
2014-11-07,40263476.29477718
2014-11-08,30212775.72296773
2014-11-09,51466025.86583119
2014-11-10,62274660.836041614
2014-11-11,45679773.63975148
2014-11-12,234617998.94235379
2014-11-13,338849744.1846642
2014-11-14,263499968.5892329
2014-11-15,99179350.3470273
2014-11-16,95731301.28432417
2014-11-17,152824089.08328944
2014-11-18,109440633.05073106
2014-11-19,84367865.3742223
2014-11-20,93722502.0366924
2014-11-21,100624477.55914839
2014-11-22,68856354.94119315
2014-11-23,71063869.31374641
2014-11-24,116848548.38822386
2014-11-25,115570302.47559404
2014-11-26,92282203.67741974
2014-11-27,70974036.26141815
2014-11-28,91254232.81791146
2014-11-29,100952560.51474999
2014-11-30,74926943.90674321
2014-12-01,64120830.50054466
2014-12-02,66841251.26995943
2014-12-03,74772912.71073525
2014-12-04,62639548.33058211
2014-12-05,57857463.42592923
2014-12-06,48428933.75856517
2014-12-07,38514374.875024594
2014-12-08,66593741.913184226
2014-12-09,88924869.65991856
2014-12-10,59696950.62553664
2014-12-11,118502898.82834333
2014-12-12,50698218.39649164
2014-12-13,38735004.41273056
2014-12-14,44354135.28957544
2014-12-15,30644200.622725755
2014-12-16,71798679.48126574
2014-12-17,76239460.27345972
2014-12-18,90976235.79233617
2014-12-19,60607669.3459044
2014-12-20,64328493.85057997
2014-12-21,58024786.31176
2014-12-22,51126866.96604784
2014-12-23,58571793.10819222
2014-12-24,37974791.61572064
2014-12-25,75362825.06098935
2014-12-26,93256490.21344973
2014-12-27,145862961.0588076
2014-12-28,67051620.38671447
2014-12-29,99471184.46915883
2014-12-30,71609763.01677348
2014-12-31,71036111.34880373
2015-01-01,46999364.08867299
2015-01-02,38855906.30053607
2015-01-03,118778941.40912902
2015-01-04,205500148.96968707
2015-01-05,155038125.45582142
2015-01-06,97002895.97640781
2015-01-07,110674232.97875299
2015-01-08,86570544.47058573
2015-01-09,83478400.2771182
2015-01-10,92683835.63260388
2015-01-11,73256737.91089578
2015-01-12,78982214.88677162
2015-01-13,215752219.9219919
2015-01-14,236006920.8178313
2015-01-15,257637517.29041365
2015-01-16,176217465.4940408
2015-01-17,106431481.13147792
2015-01-18,118664232.7276146
2015-01-19,105545327.33818196
2015-01-20,94312137.93638834
2015-01-21,99166469.19882473
2015-01-22,151229886.42783546
2015-01-23,126038219.2115576
2015-01-24,134933345.06544757
2015-01-25,142426844.88892275
2015-01-26,401755946.5274641
2015-01-27,339951744.7443284
2015-01-29,161971565.54864252
2015-01-30,105832532.60469383
2015-01-31,92459195.63435939
2015-02-01,100844154.3350744
2015-02-02,108043831.20772208
2015-02-03,135790231.88905972
2015-02-04,83155505.15562138
2015-02-05,74142168.01402433
2015-02-06,88164946.84338237
2015-02-07,80694160.19495533
2015-02-08,76979240.31280218
2015-02-09,79154588.47482522
2015-02-10,66708973.92079521
2015-02-11,65150873.75436823
2015-02-12,51632481.43908263
2015-02-13,137045816.2260813
2015-02-14,165435433.7487849
2015-02-15,199965387.6619376
2015-02-16,128976204.99927545
2015-02-17,121468767.5434641
2015-02-18,88821471.77949807
2015-02-19,71396084.8246788
2015-02-20,80482172.09597999
2015-02-21,64143296.199941635
2015-02-22,74180476.06972592
2015-02-23,61755698.92656742
2015-02-24,58732103.48183354
2015-02-25,57584610.05522578
2015-02-26,44991044.50687964
2015-02-27,137186494.71170896
2015-02-28,85884430.30666418
2015-03-01,58106060.44444854
2015-03-02,93658288.66772273
2015-03-03,128754965.89965025
2015-03-04,119553919.98697218
2015-03-05,98543018.35211967
2015-03-06,74704492.0402275
2015-03-07,50059694.67622344
2015-03-08,45050575.22814669
2015-03-09,111062141.12648012
2015-03-10,129285347.54407713
2015-03-11,73794326.12201199
2015-03-12,65277495.588918425
2015-03-13,67739327.34903467
2015-03-14,63244191.82668233
2015-03-15,32203956.61897762
2015-03-16,60818266.22008967
2015-03-17,50540130.74794698
2015-03-18,123648767.77025563
2015-03-19,133194355.06279549
2015-03-20,59404464.50294682
2015-03-21,54148215.13499707
2015-03-22,51503307.06679215
2015-03-23,73040649.64393184
2015-03-24,153991184.32363835
2015-03-25,175875957.5910767
2015-03-26,148675593.25572366
2015-03-27,90325941.05609
2015-03-28,82125758.55914597
2015-03-29,84472855.7931449
2015-03-30,96641741.12450412
2015-03-31,76545513.49477836
2015-04-01,78230800.04911813
2015-04-02,95206093.35512507
2015-04-03,94243302.29425739
2015-04-04,63959131.20365665
2015-04-05,82969308.75347461
2015-04-06,83832524.03554013
2015-04-07,88508043.4273131
2015-04-08,106548662.28337547
2015-04-09,93749435.17178354
2015-04-10,110710603.09814687
2015-04-11,87634999.71721902
2015-04-12,62271722.260468975
2015-04-13,87796699.14598
2015-04-14,109539415.0915327
2015-04-15,71588917.36395298
2015-04-16,88471192.53868681
2015-04-17,101386584.09915563
2015-04-18,70165374.02114585
2015-04-19,58633108.40665714
2015-04-20,63561423.223313816
2015-04-21,80763824.9531341
2015-04-22,72515582.86551493
2015-04-23,55130032.39951651
2015-04-24,73282646.18860614
2015-04-25,58830426.88734985
2015-04-26,96999963.63035093
2015-04-27,95409417.4905671
2015-04-28,71643965.12343475
2015-04-29,56781693.77813109
2015-04-30,103785827.2593271
2015-05-01,74708330.707501
2015-05-02,61431426.38713984
2015-05-03,86630763.25450982
2015-05-04,84138462.79309112
2015-05-05,71871894.07356025
2015-05-06,70623213.73756033
2015-05-07,74887945.15831198
2015-05-08,79882346.22687149
2015-05-09,79529081.71071678
2015-05-10,67810639.80677219
2015-05-11,70787411.31238237
2015-05-12,60882937.62553394
2015-05-13,50100818.287086904
2015-05-14,56975125.501362815
2015-05-15,39256136.30427565
2015-05-16,26856157.042346757
2015-05-17,24401603.48024925
2015-05-18,33772801.85844162
2015-05-19,31085021.505248632
2015-05-20,28778007.286285885
2015-05-21,27373179.763544746
2015-05-22,54518478.95936304
2015-05-23,47757592.65993454
2015-05-24,29761665.976133663
2015-05-25,30834563.231427405
2015-05-26,30268982.762250736
2015-05-27,30728765.83133291
2015-05-28,26801090.327187903
2015-05-29,31108417.12996518
2015-05-30,31403744.863089006
2015-05-31,23353985.64778831
2015-06-01,43602264.82379089
2015-06-02,32062237.057725612
2015-06-03,30472196.11636243
2015-06-04,29003069.45899297
2015-06-05,32252691.587104306
2015-06-06,18238445.735281847
2015-06-07,24133822.467004918
2015-06-08,40449914.18863471
2015-06-09,36746856.38036806
2015-06-10,29194036.771787077
2015-06-11,28833233.41266869
2015-06-12,29722314.849446375
2015-06-13,29012321.272587787
2015-06-14,35303170.71466479
2015-06-15,46839294.423419096
2015-06-16,96364192.87222852
2015-06-17,100630046.35212404
2015-06-18,67360540.67947954
2015-06-19,60767655.66479779
2015-06-20,55692672.674818866
2015-06-21,26531885.052744597
2015-06-22,41166801.74969953
2015-06-23,37387508.430996
2015-06-24,39616260.29622073
2015-06-25,34244051.08008979
2015-06-26,34005665.062683985
2015-06-27,49080095.21505225
2015-06-28,40522516.655076645
2015-06-29,73197757.00524
2015-06-30,99893250.06832577
2015-07-01,68104997.64448473
2015-07-02,52711167.626877494
2015-07-03,42339288.96608291
2015-07-04,42932957.07889688
2015-07-05,96139966.48557808
2015-07-06,111884711.19735701
2015-07-07,64748934.30717278
2015-07-08,79366281.26047984
2015-07-09,75940632.19947487
2015-07-10,113799594.1409435
2015-07-11,114394387.16569845
2015-07-12,115546321.24017799
2015-07-13,130058766.78659293
2015-07-14,74446013.37027897
2015-07-15,52932167.70111447
2015-07-16,97423601.54430674
2015-07-17,60573486.78209071
2015-07-18,52505422.1849008
2015-07-19,26896009.893020075
2015-07-20,40729476.381133035
2015-07-21,43239135.22644978
2015-07-22,43240737.35047461
2015-07-23,34164576.518917255
2015-07-24,79396118.75259325
2015-07-25,54859994.563074075
2015-07-26,40248392.33013304
2015-07-27,63540197.33148093
2015-07-28,63623601.6003042
2015-07-29,52624701.467293404
2015-07-30,43880110.290356554
2015-07-31,63971590.58757594
2015-08-01,53533745.82603215
2015-08-02,46165536.822869964
2015-08-03,41411646.7104373
2015-08-04,48308760.90560098
2015-08-05,43424335.531163365
2015-08-06,41914107.67785419
2015-08-07,47637462.16841643
2015-08-08,80056216.9967666
2015-08-09,67863178.91055241
2015-08-10,60783290.21756031
2015-08-11,64124892.99653497
2015-08-12,73043602.38810194
2015-08-13,57163446.795025095
2015-08-14,61280618.55732058
2015-08-15,38131976.86865548
2015-08-16,55868003.65302729
2015-08-17,51730292.4009465
2015-08-18,49833133.79994442
2015-08-19,143390129.28370252
2015-08-20,99655604.53121857
2015-08-21,62180213.61240129
2015-08-22,102329840.28166316
2015-08-23,72465770.66977338
2015-08-24,139379271.33868462
2015-08-25,183422133.02821282
2015-08-26,144278489.53657845
2015-08-27,69900344.06948392
2015-08-28,95134718.75546841
2015-08-29,56654306.07150725
2015-08-30,54615311.643692665
2015-08-31,58032869.77182835
2015-09-01,61479340.23891231
2015-09-02,47781609.22090014
2015-09-03,43765322.15025832
2015-09-04,55274502.37627574
2015-09-05,58712579.1018823
2015-09-06,70113446.29750317
2015-09-07,50336412.979991846
2015-09-08,67754768.56019479
2015-09-09,55993048.11643384
2015-09-10,48531118.883055605
2015-09-11,44294574.3495357
2015-09-12,40541222.49556373
2015-09-13,46253457.40687432
2015-09-14,52117340.606796384
2015-09-15,58562863.20358095
2015-09-16,51089489.85407352
2015-09-17,54594105.82680428
2015-09-18,79606359.72514415
2015-09-19,39022087.91012471
2015-09-20,36477159.2595533
2015-09-21,36795275.81748264
2015-09-22,71785978.8373853
2015-09-23,53526673.23620633
2015-09-24,124125639.29530513
2015-09-25,115435785.46487305
2015-09-26,93607431.45305927
2015-09-27,75776526.63573742
2015-09-28,245683532.12691057
2015-09-29,115160470.82095526
2015-09-30,76056339.96172076
2015-10-01,72356986.64595664
2015-10-02,84448749.0956819
2015-10-03,73353042.37453015
2015-10-04,78899567.08428396
2015-10-05,107434379.86060317
2015-10-06,135776679.78278795
2015-10-07,121587412.75625242
2015-10-08,97564224.99277282
2015-10-09,109153976.98039407
2015-10-10,89165069.70010512
2015-10-11,79268221.71546365
2015-10-12,108125413.61682853
2015-10-13,164455688.10166356
2015-10-14,321865165.91051394
2015-10-15,207297257.62019613
2015-10-16,332398256.1656234
2015-10-17,271593080.8014066
2015-10-18,116712427.05704656
2015-10-19,224715633.9081733
2015-10-20,319017395.23033226
2015-10-21,201630914.85690627
2015-10-22,229034925.6796039
2015-10-23,130573069.75416414
2015-10-24,168029249.3828648
2015-10-25,336860319.5875912
2015-10-26,221583939.26366535
2015-10-27,329397533.93903714
2015-10-28,387209571.0614479
2015-10-29,543163761.4698877
2015-10-30,843340993.2179483
2015-10-31,321997491.79856926
2015-11-01,582434357.3722049
2015-11-02,636690229.0056115
2015-11-03,987283928.3196412
2015-11-04,984425381.794543
2015-11-05,913505444.7997164
2015-11-06,770242854.4761926
2015-11-07,462741972.46864593
2015-11-08,264157489.62253815
2015-11-09,420137368.36575645
2015-11-10,620473336.3692106
2015-11-11,572707252.5268553
2015-11-12,546923067.4696827
2015-11-13,414918018.06742084
2015-11-14,131135195.6401858
2015-11-15,237800138.65869674
2015-11-16,239442892.6065092
2015-11-17,236625919.2712964
2015-11-18,185981663.2942105
2015-11-19,206391901.26959464
2015-11-20,123560944.18387257
2015-11-21,199949522.188539
2015-11-22,167053005.3954258
2015-11-23,188739479.4368917
2015-11-24,103800161.90899219
2015-11-25,714595229.5358595
2015-11-26,1237550807.6515267
2015-11-27,895711315.7104639
2015-11-28,667783121.7836893
2015-11-29,921927632.1582325
2015-11-30,1299027009.4916246
2015-12-01,523072117.50624603
2015-12-02,1153668371.9578505
2015-12-03,1149814390.1438584
2015-12-04,1039912869.9731772
2015-12-05,1426331736.1368082
2015-12-06,1512626609.7304864
2015-12-07,1282263557.3988562
2015-12-08,954462002.2518704
2015-12-09,1528970867.732093
2015-12-10,1275837073.4425912
2015-12-11,1623480958.4502342
2015-12-12,1745413356.7816703
2015-12-13,1484344615.6204193
2015-12-14,1497157323.9409719
2015-12-15,1555251795.3592968
2015-12-16,896686369.8324581
2015-12-17,1302614351.2750235
2015-12-18,1135226734.002981
2015-12-19,556941126.9945824
2015-12-20,1175787490.6247997
2015-12-21,1416880180.0048287
2015-12-22,1296402582.2604847
2015-12-23,955949147.6136756
2015-12-24,1418671442.057204
2015-12-25,1058738142.1988857
2015-12-26,1725069505.9869354
2015-12-27,1378749291.4939413
2015-12-28,1310931884.6738522
2015-12-29,1176234726.8014364
2015-12-30,1227648166.044458
2015-12-31,1310033274.6107447
2016-01-01,1338781510.5888267
2016-01-02,769869067.6019802
2016-01-03,984185979.6461835
2016-01-04,1021957722.8426229
2016-01-05,758209345.881597
2016-01-06,833341869.2838143
2016-01-07,1637948558.2555692
2016-01-08,1501742593.9812622
2016-01-09,1085553694.1445763
2016-01-10,1361099089.9371536
2016-01-11,1182725805.933856
2016-01-12,888588584.7561319
2016-01-13,1584488640.9822845
2016-01-14,1266295629.45831
2016-01-15,1576734613.7039278
2016-01-16,1710583688.2242782
2016-01-17,1476285800.5507712
2016-01-18,1357696058.8206067
2016-01-19,1157108220.8545206
2016-01-20,1674254290.1511552
2016-01-21,1484721462.288631
2016-01-22,1626853795.9614305
2016-01-23,755378842.1307422
2016-01-24,1458284443.5169122
2016-01-25,1332190240.7947457
2016-01-26,1231352757.4795895
2016-01-27,1023661369.6216024
